Timestamp,CPU Utilization (%),Memory Utilization (%),Disk I/O (MB/s),Network Bandwidth (Mbps),Number of Active VMs,Workload Type,Resource Demand
2024/01/01 00:00:00,41.9,40.5,145.4,23.8,12,CPU-intensive,High
2024/01/01 01:00:00,75.7,33.9,54.1,46.1,17,CPU-intensive,High
2024/01/01 02:00:00,55,65.7,113.8,99.7,15,I/O-intensive,Low
2024/01/01 03:00:00,51,64.5,159.3,52.5,11,I/O-intensive,Low
2024/01/01 04:00:00,74.7,49,118.8,44.4,7,Memory-intensive,Medium
2024/01/01 05:00:00,67.5,48.4,127,69.2,16,I/O-intensive,Low
2024/01/01 06:00:00,27.2,78.9,87.9,45.6,8,CPU-intensive,High
2024/01/01 07:00:00,89.8,66.9,162.6,90.5,12,I/O-intensive,Low
2024/01/01 08:00:00,56.1,46.4,116.4,98.4,14,I/O-intensive,Low
2024/01/01 09:00:00,43.4,31.8,104,24.3,15,Memory-intensive,Medium
2024/01/01 10:00:00,28.7,76.4,198.5,94.1,15,Memory-intensive,Medium
2024/01/01 11:00:00,58.2,43.7,81.5,59.1,5,I/O-intensive,Low
2024/01/01 12:00:00,86.6,59.6,102.8,49.1,16,I/O-intensive,Low
2024/01/01 13:00:00,72.7,57.7,62.4,55.3,16,CPU-intensive,High
2024/01/01 14:00:00,75.2,51.7,158.3,43.1,7,I/O-intensive,Low
2024/01/01 15:00:00,29,79.8,61.4,71.1,8,CPU-intensive,High
2024/01/01 16:00:00,70.3,40.7,183.8,48.8,8,I/O-intensive,Low
2024/01/01 17:00:00,74,55.4,121.3,23.8,12,Memory-intensive,Medium
2024/01/01 18:00:00,52.1,36,150.7,36.3,19,Memory-intensive,Medium
2024/01/01 19:00:00,71.1,49.6,72.6,86.9,6,CPU-intensive,High
2024/01/01 20:00:00,32.7,43.3,116.2,89.5,11,I/O-intensive,Low
2024/01/01 21:00:00,40.1,56.8,191.7,66.1,11,CPU-intensive,High
2024/01/01 22:00:00,65.7,55.7,69.3,59.9,19,I/O-intensive,Low
2024/01/01 23:00:00,41.3,55.2,190.3,78,19,Memory-intensive,Medium
2024/01/02 00:00:00,82.8,32.7,124,80.8,12,I/O-intensive,Low
2024/01/02 01:00:00,31.8,65.4,99.9,81.1,19,Memory-intensive,Medium
2024/01/02 02:00:00,79.1,32.4,135,66.1,10,Memory-intensive,Medium
2024/01/02 03:00:00,38.4,69.2,139,92.9,14,I/O-intensive,Low
2024/01/02 04:00:00,55.8,65.9,75.5,84.4,18,CPU-intensive,High
2024/01/02 05:00:00,72.9,59.9,186,84,11,Memory-intensive,Medium
2024/01/02 06:00:00,59.8,62,133.9,60.2,8,I/O-intensive,Low
2024/01/02 07:00:00,34.2,41.5,73.1,53.6,6,Memory-intensive,Medium
2024/01/02 08:00:00,88.5,42.8,166.4,99.7,18,CPU-intensive,High
2024/01/02 09:00:00,71.2,75.7,84.7,58.7,14,I/O-intensive,Low
2024/01/02 10:00:00,84.6,57,167.7,37.1,5,I/O-intensive,Low
2024/01/02 11:00:00,88.8,66.4,110.6,78.8,13,Memory-intensive,Medium
2024/01/02 12:00:00,46,78,52.5,47.1,5,CPU-intensive,High
2024/01/02 13:00:00,82.4,78.2,139.2,92,10,I/O-intensive,Low
2024/01/02 14:00:00,86.9,65.1,160,85.7,10,CPU-intensive,High
2024/01/02 15:00:00,25.3,46.3,75.4,24.5,5,I/O-intensive,Low
2024/01/02 16:00:00,35.9,71,157.7,57,13,CPU-intensive,High
2024/01/02 17:00:00,33.2,75.1,95.3,52.2,6,I/O-intensive,Low
2024/01/02 18:00:00,85.5,52.3,178.3,69.6,6,Memory-intensive,Medium
2024/01/02 19:00:00,51.2,49.6,75.1,42.6,18,Memory-intensive,Medium
2024/01/02 20:00:00,51.3,41.2,183.9,92.3,11,Memory-intensive,Medium
2024/01/02 21:00:00,58.6,34.3,182.5,81.9,5,CPU-intensive,High
2024/01/02 22:00:00,59.4,51.7,136.3,52.8,6,Memory-intensive,Medium
2024/01/02 23:00:00,27.8,65.8,52.4,39.7,16,Memory-intensive,Medium
2024/01/03 00:00:00,54.3,59.6,84.9,61.4,10,Memory-intensive,Medium
2024/01/03 01:00:00,52.1,30.3,59.9,72.2,6,Memory-intensive,Medium
2024/01/03 02:00:00,72.9,37.7,178.2,28.6,8,CPU-intensive,High
2024/01/03 03:00:00,77.7,78.5,57.5,37.8,5,Memory-intensive,Medium
2024/01/03 04:00:00,76.6,33.9,102.6,57.1,8,Memory-intensive,Medium
2024/01/03 05:00:00,31.3,69.5,70.8,72.1,12,CPU-intensive,High
2024/01/03 06:00:00,79.9,63.1,153.3,28.8,6,I/O-intensive,Low
2024/01/03 07:00:00,85.8,66.8,170.8,22.2,9,I/O-intensive,Low
2024/01/03 08:00:00,40.7,57.2,67.4,35.2,5,Memory-intensive,Medium
2024/01/03 09:00:00,84.6,62.7,197.5,66,6,Memory-intensive,Medium
2024/01/03 10:00:00,49.9,74.1,198.9,63.3,17,Memory-intensive,Medium
2024/01/03 11:00:00,35.3,71.8,99.9,33.3,15,Memory-intensive,Medium
2024/01/03 12:00:00,68.2,40.4,134.8,92,6,I/O-intensive,Low
2024/01/03 13:00:00,76.6,60.9,178.7,62.4,13,Memory-intensive,Medium
2024/01/03 14:00:00,27.2,45,91.9,47.5,17,Memory-intensive,Medium
2024/01/03 15:00:00,21.2,30.8,183.4,81.4,13,CPU-intensive,High
2024/01/03 16:00:00,23.5,43.2,94.4,59.3,16,Memory-intensive,Medium
2024/01/03 17:00:00,59.8,43.6,88.2,73.3,12,I/O-intensive,Low
2024/01/03 18:00:00,74.2,76.6,150.3,35,19,Memory-intensive,Medium
2024/01/03 19:00:00,87.2,71.3,186,93.4,7,Memory-intensive,Medium
2024/01/03 20:00:00,74.3,44.9,186.1,38,16,Memory-intensive,Medium
2024/01/03 21:00:00,59.9,30.8,135.1,53,7,Memory-intensive,Medium
2024/01/03 22:00:00,68.8,61.9,147.8,70.2,14,I/O-intensive,Low
